repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language,Language Frequency
donnemartin/system-design-primer,0,0,164,164,115,Python,155
jgthms/bulma,0,0,151,159,380,CSS,37
jgthms/bulma,0,0,151,159,380,CSS,37
loveBabbar/CodeHelp-DSA-Busted-Series,0,913,24,125,19,C++,29
donnemartin/awesome-aws,0,0,5,60,70,Python,155
donnemartin/interactive-coding-challenges,0,0,32,36,42,Python,155
btholt/complete-intro-to-react-v5,0,0,21,32,5,JavaScript,253
Anuj-Kumar-Sharma/DS-Algo,457,382,3,31,8,Java,44
amacgregor/crimson_commerce,72,11,1,31,3,Elixir,2
localstack/localstack,0,0,290,30,434,Python,155
SauravMukherjee44/Aec-Library-Website,5,2,81,29,184,HTML,72
aviaryan/awesome-no-login-web-apps,0,198,9,29,65,Shell,25
ethereum/aleth,0,0,313,27,154,C++,29
btholt/complete-intro-to-linux-and-the-cli,303,93,1,27,9,JavaScript,253
ritwickdey/ritwickdey.github.io,83,21,2,25,0,TypeScript,37
ritwickdey/ritwickdey.github.io,83,21,2,25,0,TypeScript,37
adrianhajdin/project_chat_application,0,973,23,24,0,JavaScript,253
benawad/apollo-server-react-file-upload,79,34,5,23,2,JavaScript,253
EddieHubCommunity/LinkFree,0,956,63,22,658,JavaScript,253
education/classroom,0,589,202,22,67,Ruby,28
education/autograding,27,30,15,22,0,TypeScript,37
education/graduation,756,0,8,22,0,JavaScript,253
btholt/complete-intro-to-react-v6,0,223,11,21,13,JavaScript,253
btholt/complete-intro-to-containers,765,166,6,21,11,JavaScript,253
openfoodfacts/off-category-classification,4,3,16,21,6,Jupyter Notebook,29
dwij2812/FlightBooking-system,6,2,6,21,2,CSS,37
benawad/apollo-mocked-provider,89,24,7,20,9,TypeScript,37
manjurulhoque/angular-task,0,0,1,20,2,HTML,72
btholt/complete-intro-to-computer-science,214,151,3,19,8,JavaScript,253
zemse/create-solidity-project,8,9,15,19,3,JavaScript,253
anuraghazra/BugVilla,206,70,16,19,2,TypeScript,37
khannakshat7/Elektra,38,85,32,18,20,HTML,72
offensive-security/exploitdb,0,0,21,18,17,C,26
feross/bitmidi.com,488,63,8,18,7,JavaScript,253
jgthms/css-reference,0,326,19,18,3,HTML,72
jgthms/css-reference,0,326,19,18,3,HTML,72
octocat/octocat.github.io,233,198,106,18,0,CSS,37
adrianhajdin/ecommerce_sanity_stripe,907,220,27,18,0,JavaScript,253
adrianhajdin/project_corona_tracker,0,373,12,18,0,JavaScript,253
