Repositories,Stars Count,Forks Count,Issues Count,Pull Requests,Contributors,Language,Language Frequency,Frequency Category
shreyashankar/gpt3-sandbox,0,757,9,2,12,JavaScript,253,Very Popular
casatwy/CTMediator,0,749,4,1,3,Objective-C,8,Unpopular
carloscuesta/gitmoji,0,691,9,0,88,JavaScript,253,Very Popular
carloscuesta/gitmoji,0,691,9,0,88,JavaScript,253,Very Popular
EddieHubCommunity/awesome-github-profiles,925,612,51,9,434,HTML,72,Average Popularity
lengstrom/Dangerous-Chef-Pioneer,5,605,1,0,0,JavaScript,253,Very Popular
lengstrom/Dangerous-Chef-Pioneer,5,605,1,0,0,JavaScript,253,Very Popular
education/classroom,0,589,202,22,67,Ruby,28,Average Popularity
florinpop17/10-projects-10-hours,0,589,4,10,0,JavaScript,253,Very Popular
bradtraversy/angular-crash-2021,379,571,2,2,3,TypeScript,37,Average Popularity
mattgallagher/AudioStreamer,0,566,75,6,7,Objective-C,8,Unpopular
offensive-security/exploitdb-bin-sploits,0,545,3,0,0,Python,155,Very Popular
curiousily/Getting-Things-Done-with-Pytorch,0,513,14,3,0,Jupyter Notebook,29,Average Popularity
btholt/citr-v6-project,487,499,11,6,0,JavaScript,253,Very Popular
Errichto/youtube,0,486,2,1,3,C++,29,Average Popularity
vikhyatsingh123/Naruto-Shippuden,85,466,3,6,259,HTML,72,Average Popularity
donnemartin/gitsome,0,460,43,14,28,Python,155,Very Popular
adrianhajdin/project_e_commerce,0,450,45,5,0,JavaScript,253,Very Popular
xoreaxeaxeax/movfuscator,0,449,16,4,0,C,26,Average Popularity
antonmedv/fx,0,428,13,2,23,Go,15,Unpopular
adrianhajdin/portfolio_website,0,421,7,10,2,JavaScript,253,Very Popular
adrianhajdin/chat_application,829,413,19,1,0,JavaScript,253,Very Popular
xoreaxeaxeax/sandsifter,0,398,53,9,0,Python,155,Very Popular
andrewjmead/node-course-v3-code,569,391,6,1,0,JavaScript,253,Very Popular
curiousily/Deep-Learning-For-Hackers,824,391,6,0,0,Jupyter Notebook,29,Average Popularity
google/accompanist,0,389,59,6,75,Kotlin,7,Unpopular
Anuj-Kumar-Sharma/DS-Algo,457,382,3,31,8,Java,44,Average Popularity
robertsdionne/neural-network-papers,0,377,1,0,2,JavaScript,253,Very Popular
btholt/algorithms-exercises,135,374,4,11,3,JavaScript,253,Very Popular
adrianhajdin/project_corona_tracker,0,373,12,18,0,JavaScript,253,Very Popular
WhiteHouse/petitions,0,353,65,16,25,JavaScript,253,Very Popular
adrianhajdin/project_medical_pager_chat,968,336,14,5,0,JavaScript,253,Very Popular
jgthms/css-reference,0,326,19,18,3,HTML,72,Average Popularity
jgthms/css-reference,0,326,19,18,3,HTML,72,Average Popularity
